Código Departamento (DIVIPOLA),DEPARTAMENTOS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021p,2022p,2023pr
,COLOMBIA,"337,958","381,604","428,506","476,554","501,574","544,060","619,023","666,507","714,093","762,903","804,692","863,782","920,471","987,791","1,060,068","998,471","1,192,634","1,469,791","1,572,458"
91,Amazonas,228,253,278,304,336,369,402,438,476,532,593,661,710,759,808,777,909,"1,070","1,191"
05,Antioquia,"51,007","57,285","64,514","68,425","71,309","75,982","85,578","92,318","98,573","106,819","115,446","126,022","132,369","141,680","153,559","148,362","177,867","212,453","231,052"
81,Arauca,"3,555","4,048","4,451","5,837","5,062","5,217","6,171","5,984","5,674","5,010","4,534","4,152","4,367","5,091","5,619","5,130","6,674","8,896","8,580"
08,Atlántico,"13,507","15,432","18,052","19,527","20,809","21,443","23,549","26,445","29,112","32,383","35,716","38,575","40,875","43,369","46,575","44,833","52,771","63,696","70,201"
11,Bogotá D.C.,"89,832","100,462","112,441","122,101","130,672","139,740","152,691","164,542","177,361","191,026","206,478","221,456","236,786","253,941","273,524","260,747","303,094","361,698","393,237"
13,Bolívar,"11,169","12,845","14,688","16,048","16,432","18,363","21,489","23,078","25,859","26,623","28,105","30,918","33,394","35,410","38,285","34,626","42,256","51,643","56,626"
15,Boyacá,"8,226","9,215","10,951","12,771","13,261","14,475","17,260","18,314","19,380","20,839","22,165","23,671","24,782","26,884","28,574","26,480","31,184","39,233","41,793"
17,Caldas,"6,015","6,888","7,609","8,181","8,364","8,822","9,343","9,748","10,498","11,519","12,514","13,798","14,749","15,711","17,012","16,674","19,577","23,910","25,948"
18,Caquetá,"1,254","1,365","1,560","1,746","1,904","1,972","2,166","2,554","2,836","3,175","3,350","3,666","3,866","4,072","4,313","4,171","4,778","5,570","6,179"
85,Casanare,"7,842","8,270","8,009","9,910","9,165","10,454","14,433","15,729","16,781","16,688","13,305","11,667","13,145","15,507","16,465","12,620","16,920","23,177","22,522"
19,Cauca,"5,059","5,722","6,282","7,086","7,646","8,503","9,290","10,373","11,624","13,086","14,622","16,070","16,739","17,479","18,755","18,194","21,380","26,113","28,314"
20,Cesar,"6,462","7,403","7,971","9,789","10,335","10,891","13,247","13,975","13,383","13,654","14,570","16,992","19,551","21,263","20,725","17,710","23,303","38,282","32,873"
