Código Departamento (DIVIPOLA),DEPARTAMENTOS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021p,2022p,2023pr
,COLOMBIA,"8,109,978","9,049,155","10,045,001","11,048,217","11,501,714","12,340,797","13,893,951","14,810,750","15,716,824","16,633,298","17,374,741","18,445,011","19,411,357","20,468,749","21,460,744","19,807,927","23,331,283","28,438,747","30,114,779"
91,Amazonas,"3,830,908","4,169,814","4,486,342","4,807,018","5,202,908","5,591,516","5,969,210","6,370,295","6,803,987","7,465,703","8,186,030","8,952,717","9,455,515","9,912,411","10,394,169","9,654,206","11,068,255","12,782,875","13,997,736"
05,Antioquia,"9,340,469","10,362,481","11,530,203","12,084,732","12,444,001","13,099,961","14,580,906","15,552,451","16,425,657","17,607,117","18,817,790","20,289,054","21,021,421","22,112,974","23,443,453","22,312,071","26,443,764","31,298,961","33,738,353"
81,Arauca,"16,097,955","18,229,413","19,918,687","25,942,969","22,330,062","22,828,949","26,788,968","25,755,945","24,193,091","21,144,781","18,910,019","16,999,992","17,432,051","19,418,997","20,059,733","17,613,325","22,198,196","28,917,372","27,403,847"
08,Atlántico,"6,388,791","7,194,985","8,299,825","8,858,405","9,317,808","9,481,200","10,288,314","11,421,539","12,434,114","13,681,473","14,921,849","15,893,944","16,559,026","17,104,546","17,654,317","16,643,734","19,252,475","22,954,018","25,039,898"
11,Bogotá D.C.,"13,385,931","14,770,879","16,332,253","17,541,907","18,584,132","19,690,381","21,347,503","22,865,844","24,536,591","26,337,646","28,388,682","30,332,565","32,270,875","34,258,181","36,023,838","33,722,459","38,742,360","45,939,738","49,730,969"
13,Bolívar,"6,205,737","7,044,660","7,956,639","8,593,127","8,702,860","9,624,569","11,153,868","11,869,745","13,184,807","13,463,342","14,096,587","15,359,019","16,403,989","17,105,509","17,969,999","15,961,853","19,182,900","23,187,663","25,197,612"
15,Boyacá,"7,211,579","8,046,451","9,523,137","11,059,678","11,433,547","12,422,312","14,744,101","15,572,164","16,401,817","17,552,741","18,575,739","19,726,304","20,520,809","22,083,734","23,213,351","21,061,239","24,522,695","30,531,068","32,177,791"
17,Caldas,"6,036,872","6,934,270","7,682,864","8,282,623","8,485,412","8,962,649","9,499,869","9,917,777","10,684,153","11,718,627","12,712,322","13,977,005","14,877,999","15,738,292","16,871,662","16,324,192","19,031,777","23,120,239","24,943,015"
18,Caquetá,"3,306,217","3,575,615","4,060,678","4,519,574","4,901,195","5,048,397","5,516,404","6,476,778","7,161,524","7,990,249","8,401,448","9,164,641","9,639,203","10,132,201","10,620,553","10,081,619","11,423,862","13,205,366","14,536,951"
85,Casanare,"24,123,828","24,864,712","23,554,324","28,528,736","25,845,154","28,892,100","39,124,122","41,847,958","43,845,228","42,843,277","33,571,338","28,911,791","31,964,165","36,877,466","38,418,352","28,453,986","37,425,439","50,388,679","48,146,499"
19,Cauca,"3,948,746","4,414,192","4,792,247","5,347,831","5,710,392","6,285,109","6,796,875","7,515,512","8,342,092","9,302,222","10,294,939","11,203,350","11,553,337","11,935,202","12,686,194","12,064,278","14,017,069","16,942,858","18,172,817"
20,Cesar,"6,810,781","7,684,507","8,146,177","9,845,957","10,227,409","10,603,692","12,692,156","13,176,012","12,414,299","12,460,838","13,076,198","14,953,901","16,818,961","17,710,537","16,547,877","13,719,293","17,621,693","28,374,995","23,932,464"
27,Chocó,"3,060,247","3,314,596","3,497,940","3,822,819","4,690,095","6,317,316","7,769,706","7,400,499","6,282,263","6,291,011","7,011,686","8,146,211","7,511,347","7,062,349","7,718,663","7,982,757","9,057,986","10,426,627","11,420,489"
23,Córdoba,"3,912,903","4,362,011","5,186,748","5,129,321","5,235,480","5,503,257","5,893,042","6,439,647","6,914,460","7,555,705","7,910,948","8,405,654","8,957,509","9,412,988","10,107,441","9,710,755","11,328,890","13,602,706","14,614,790"
25,Cundinamarca,"10,268,544","11,046,444","12,259,261","13,547,103","14,138,511","14,837,916","16,105,151","16,789,186","17,283,141","17,888,991","18,894,518","20,178,863","20,095,677","20,241,029","20,454,302","19,477,673","22,698,410","27,483,730","28,847,163"
94,Guainía,"4,134,059","4,655,932","4,553,399","4,854,812","5,076,118","5,337,184","5,423,605","5,889,341","6,342,338","6,550,834","7,098,587","7,419,490","7,319,487","7,556,202","7,878,262","7,194,949","8,264,283","9,039,712","9,837,192"
95,Guaviare,"4,759,905","5,133,194","5,776,380","6,071,819","6,177,281","6,442,355","6,570,335","7,137,782","7,617,279","8,146,529","8,759,675","9,108,939","9,412,082","9,464,246","9,825,676","9,277,497","10,399,822","12,072,279","12,821,768"
41,Huila,"6,451,275","6,895,658","7,441,987","8,686,536","8,679,324","9,548,625","11,113,741","11,400,169","11,967,750","12,755,711","13,006,651","13,682,003","14,008,430","14,530,595","15,467,923","14,647,530","17,139,832","21,004,992","22,376,653"
44,La Guajira,"6,503,249","7,204,102","7,342,993","9,388,252","9,608,067","9,587,598","10,937,733","11,229,423","10,625,059","10,629,004","10,790,562","11,477,178","12,747,584","13,493,547","12,102,423","9,033,403","14,573,513","21,896,762","18,870,184"
